K643 AKJ J94 KQ3|JT2 85 KT75 T875|AQ5 Q9632 Q832 A|987 T74 A6 J9642
AJ86 QT KQ54 QJ9|K73 54 JT6 AKT86|QT92 AK73 A3 732|54 J9862 9872 54
A98 K4 QT54 AK64|65 JT963 J86 852|KJ32 A8 AK92 T73|QT74 Q752 73 QJ9
AK3 KQT74 J94 K4|QT875 J652 8 A52|9 A9 AKQ7 JT9873|J642 83 T6532 Q6
A73 KQT7 A87 K74|QT65 42 Q9 AJT92|K82 AJ KJT643 63|J94 98653 52 Q85
QT8 A8 KT952 AQ5|K73 T9753 3 8764|AJ5 Q642 AQJ8 K9|9642 KJ 764 JT32
AJ2 J6 AKQ5 9864|83 K98 987 K7532|KT QT53 J432 AJT|Q97654 A742 T6 Q
AQ86 T76 QJ6 AQT|K9432 J4 3 KJ986|JT A9852 AKT54 3|75 KQ3 9872 7542
AT4 AQ964 J74 A4|9753 J2 Q952 K53|KQ6 87 AKT83 JT9|J82 KT53 6 Q8762
A75 AK75 K53 Q87|T9 J9642 T AJT92|K64 T83 AJ94 K63|QJ832 Q Q8762 54
QT7 KQ8 QJ74 KQ5|AJ4 T9762 K J642|K93 A53 T952 AT3|8652 J4 A863 987
QT4 K96 KQJ6 A52|A98 A753 8543 64|762 Q2 A9 KQ9873|KJ53 JT84 T72 JT
K4 A542 AT8 A642|J862 T6 J962 T93|AQT5 J93 75 KQJ8|973 KQ87 KQ43 75
AJ Q53 A9873 AT3| K9864 T6542 QJ6|9864 AJ72 QJ K98|KQT7532 T K 7542
AK84 QT65 T7 AKT|76 J72 J632 QJ32|JT532 K43 AK54 4|Q9 A98 Q98 98765
JT4 832 AK6 AKJ6|AQ3 J65 8754 T87|K5 KQT QJT932 95|98762 A974  Q432
A65 KQT6 A642 K4|JT3 832 K9 98762|K42 54 QJT3 AQT3|Q987 AJ97 875 J5
AQJ95 42 Q83 AQ4|KT82 AK8 7654 53|63 7 AKJT9 KJ986|74 QJT9653 2 T72
AQT K62 A73 QJ92|9764 J73 854 KT7|KJ853 A4 KQ2 A65|2 QT985 JT96 843
KQ7 KQT75 K5 QT3|T3 864 AJ873 K72|A9652 A3 62 AJ65|J84 J92 QT94 984
AQT4 J3 J75 AKJT|85 T6 K98432 843|J97 AQ42 AT Q965|K632 K9875 Q6 72
KJ9 42 A8642 AK7|T654 J53 T53 J82|Q7 KQ987 KQJ7 93|A832 AT6 9 QT654
KJT AT87 KJ3 A97|Q986432 K6 85 85|A7 9 AQT76 KQJT3|5 QJ5432 942 642
KJ65 KT83 AJ6 K2|T Q64 QT73 T8765|A873 A2 954 AQJ9|Q942 J975 K82 43
QJ AK86 A43 JT96|9875 J32 J972 83|K632 5 KT65 AQ52|AT4 QT974 Q8 K74
AKJ J97 K96 AJ52|82 543 T KQT9863|QT7 KQ62 AQJ742 |96543 AT8 853 74
75 AKQJ K87 KJ94|JT6 875 QJ95 862|KQ93 643 A32 AQT|A842 T92 T64 753
J9 KQJ52 KQT AT2|T854 T86 732 QJ6|32 A93 A65 K8543|AKQ76 74 J984 97
AK2 J86 A862 K32|T863 QT42 KT5 J6|J974 AK73 3 A874|Q5 95 QJ974 QT95
KJ2 64 A952 AKT9|7 7532 KQ763 QJ2|AQ85 AKQJT T8 54|T9643 98 J4 8763
KQ54 AJ85 J3 KQJ|73 KT73 K652 875|A96 42 AT98 A432|JT82 Q96 Q74 T96
K87 AQT4 QJ6 KJ5|QJ2 KJ653 53 AT3|AT93 7 AK9742 96|654 982 T8 Q8742
KQJ J5 8763 AKQ3|953 972 K52 8754|7642 AQT43 AQ J2|AT8 K86 JT94 T96
KJT6 AK5 A985 75|Q4  JT42 KQJT643|A832 976432 K A8|975 QJT8 Q763 92
J4 T93 AJ7 AKQJ3|K983 KQ875 T92 4|AQ72 AJ642 K84 8|T65  Q653 T97652
Q9 AJ86 J98 AKT8|T8 KQT952 A754 4|AKJ542 43 T6 QJ9|763 7 KQ32 76532
Q54 AQ Q85 AJT92|J8 K87654 K74 Q8|KT 9 AJT9632 K73|A97632 JT32  654
KJ976 A83 A4 K93|A4 J954 Q962 852|Q832 KQ2 53 AJT6|T5 T76 KJT87 Q74
J4 T98 AKJ6 AK42|6 432 9754 QT763|AKQT2 KQ7 Q8 J85|98753 AJ65 T32 9
Q76 K62 AQ AT974|T4 97 KJ4 KQ8532|AKJ52 QT4 9862 J|983 AJ853 T753 6
AQ98 J873 A5 A73|2 Q6542 762 K542|653 AKT K9843 JT|KJT74 9 QJT Q986
KQ754 A7 AQ7 952|86 95 T65 QJT643|AT3 QJT8 KJ84 A8|J92 K6432 932 K7
QJ4 Q64 KQJT6 KQ|652 T87 875 T832|AT987 AK2 A9 J65|K3 J953 432 A974
K97 AKT6 Q8 A962|T5 Q984 AKJ97 87|AQJ8 3 T532 KQ53|6432 J752 64 JT4
A9 AQJ Q742 QJ94|T5 K64 J653 AT52|KJ74 5 AKT98 K83|Q8632 T98732  76
A72 7432 Q7 AKQ2|QT3 KJ9 T853 JT6|KJ9854 T AKJ6 75|6 AQ865 942 9843
KJ7 J3 AQJ7 AJ54|6 KQ874 852 KT97|AQT954 A5 643 Q6|832 T962 KT9 832
K863 A7 AKQ 7652|JT75 J JT632 JT9|A94 QT962 4 KQ84|Q2 K8543 9875 A3
AJ2 AQ865 QJ3 J2|Q865 J T5 KQ9543|K43 K932 AK974 T|T97 T74 862 A876
Q64 A98 AK6 QT42|A53 T4 QT942 853|KT72 KQ52 J5 AJ6|J98 J763 873 K97
A32 AT2 KQT3 K85|KQ8 J3 9654 Q642|75 Q9865 AJ87 A9|JT964 K74 2 JT73
A832 A4 AQJ T543|6 J863 T653 Q876|94 QT975 K42 AK9|KQJT75 K2 987 J2
KQ54 T95 KJ AK73|9 QJ872 Q8 JT865|T2 AK43 AT7642 2|AJ8763 6 953 Q94
762 JT9 AKJ AK93|KT4 Q743 T643 76|AJ83 A5 985 QJ42|Q95 K862 Q72 T85
AJT8 K3 AKT6 QT5|KQ32 QT5 Q984 74|54 A8 75 AKJ9862|976 J97642 J32 3
K98 A85 AQ98 Q63|J763 6 T753 AJ84|AQ2 QT92 K4 T752|T54 KJ743 J62 K9
J9 A86 A863 AQT9|7542 KT4 KT9 J76|AK QJ752 Q7542 K|QT863 93 J 85432
JT95 A94 K2 AKQ3|Q764 5 A8743 982|A KQJ76 QJT JT74|K832 T832 965 65
AJT K5 A986 KT53|7 QT987 KT432 84|94 AJ J75 AQJ962|KQ86532 6432 Q 7
J84 AJ94 Q5 AK32|T97532 QT52 J QT|AKQ6 73 KT92 J84| K86 A87643 9765
AQT86 A73 AJ Q62|42 T Q76543 J875|KJ975 K9852 2 A4|3 QJ64 KT98 KT93
K6 A987 KJ72 A76|AT93 Q2 A9543 T4|842 KT543 Q KQJ3|QJ75 J6 T86 9852
AQJT7 Q8 865 AQ7|96542 J97 J JT82|K3 AK654 A742 95|8 T32 KQT93 K643
A87 AQ8 KQ2 9832|T54 K974 T654 QT|Q3 J5 AJ987 AJ65|KJ962 T632 3 K74
AQJ KQ7 K84 Q974|T AT953 QT52 KJ5|K9843 64 AJ7 A63|7652 J82 963 T82
K4 9863 AK53 AQ9|T6532  T982 K632|AQJ87 Q42 QJ7 J7|9 AKJT75 64 T854
QJ9 AQJT7 QJ5 Q8|T82  AK9643 KT63|AK6 86543 87 AJ5|7543 K92 T2 9742
J8743 A32 K5 AKJ|Q95  J8762 T7432|A2 QJ9874 Q3 Q96|KT6 KT65 AT94 85
AJ2 74 KJ98 KQJ3|8743 T9 7654 T98|Q5 KQ865 AQT 765|KT96 AJ32 32 A42
K65 J2 A976 AK74|T87 T9 JT52 T962|2 AKQ87654 Q QJ5|AQJ943 3 K843 83
AJ92 A82 J9 AJ87|75 KJT643 63 Q93|KT86 Q97 AKT5 65|Q43 5 Q8742 KT42
AK864 AT5 A9 543|JT7 Q9732 43 KT8|53 J4 KQT85 AJ76|Q92 K86 J762 Q92
AT96 A9 KQJT K42|753 8 A75 AT9865|KQ4 KJ4 9842 Q73|J82 QT76532 63 J
AK96 KT2 AT98 K6|T875 987 Q QJ987|Q AQJ65 KJ753 A4|J432 43 642 T532
94 AK93 A64 KQ82|T52 8764 J73 763|AQ8 QJT5 K82 J94|KJ763 2 QT95 AT5
KJ43 AQ65 98 AQ5| JT874 QJT654 94|975 K932 AK7 K76|AQT862  32 JT832
K32 QJ4 A984 AJ4|Q974 73 J6 QT652|AJ8 T865 KT53 K3|T65 AK92 Q72 987
AJ8 K4 AQJ92 T85|97 J763 T84 KQJ9|KQ52 Q2 K73 A632|T643 AT985 65 74
KQJ8 A64 92 AJ73|54 T8 KT763 T985|T2 QJ952 AQ4 KQ4|A9763 K73 J85 62
KT542 AKQ AT5 T9|63 J953 J32 7643|AQ8 T4 KQ98 AQ85|J97 8762 764 KJ2
875 K764 KJ AKJ3|AJ6 JT53 98763 6|K42  AQT42 Q9542|QT93 AQ982 5 T87
Q6 KJ754 Q92 AKJ|K9873 QT8 A7 942|JT A2 KJT84 QT65|A542 963 653 873
Q86 QJ K762 AK73|KJ9532 A87 J9 54|A7 K954 QT85 Q82|T4 T632 A43 JT96
K82 642 AJT AKJ2|T743 QJ87 865 Q7|A AKT K942 T8643|QJ965 953 Q73 95
AK63 KJ7 T965 AJ|J95 A86 Q87 9873|8 QT54 A32 KQ652|QT742 932 KJ4 T4
A9 AQ42 KT8 A873|Q754 KT7 QJ4 J65|KT8632  A6 KQT92|J J98653 97532 4
KQ76 QT6 KQT KJ4|AJT5 953 J3 Q982|98 AJ7 A542 A653|432 K842 9876 T7
JT6 AKT AK743 T7|752 75 Q5 QJ9832|AK4 Q9832 J962 A|Q983 J64 T8 K654
K952 QJ8 AQT8 A6|Q84 K7532 2 T987|AJ3 4 J63 KQJ543|T76 AT96 K9754 2
AKQ AT65 T9 QJ43|JT753 8 QJ543 95|984 3 AK872 A872|62 KQJ9742 6 KT6
85 AK3 AJT6 A653|32 T9872 42 KJ82|AQJT6 QJ65 KQ5 4|K974 4 9873 QT97
A9 A84 AQT82 Q73|K8752 652 753 T6|Q4 QT7 KJ94 K542|JT63 KJ93 6 AJ98
QJ32 AK 862 AJ86|A765 J7 JT53 T73|K4 Q85 K97 KQ942|T98 T96432 AQ4 5
KJ75 K3 K43 AJT4|863 QJT75 95 932|QT2 A AQ876 K765|A94 98642 JT2 Q8
AJ42 J7 854 AKQ3|9653 AQT943 63 J|KQ K65 AJT7 T865|T87 82 KQ92 9742
65 A742 AKQ AT42|AK92 6 T65 J9853|Q73 KQ5 J72 KQ76|JT84 JT983 9843 
AK4 75 K987 AQ72|T6 KQJT63 65432 |QJ72 A82 AJ JT96|9853 94 QT K8543
73 AQJ3 AQJ3 K32|JT964 K96 84 T97|A52 72 K975 AQ85|KQ8 T854 T62 J64
QT743 AJ2 A8 KQ2|J92 87643 Q754 J|A6 T9 KT932 A964|K85 KQ5 J6 T8753
AKQ KT865 K6 T63|3 93 A85432 9872|JT54 Q72 QJ AK54|98762 AJ4 T97 QJ
KQ3 A87 AQT92 QT|A72 JT65 J8 8764|T94 KQ93 K3 A532|J865 42 7654 KJ9
K32 KT953 A6 AK2|T86 8762 KT2 973|Q94 AQ4 974 QJT5|AJ75 J QJ853 864
KT5 K3 A9754 AK5|9643 A4 JT6 QJ86|AJ8 QJT65 K8 T74|Q72 9872 Q32 932
J7 KQ2 KJ743 AK3|Q2 T4 AQ86 JT964|AK8653 A63 2 Q72|T94 J9875 T95 85
AT4 K43 KJ4 KJT4|97653 AQJT QT7 7|QJ2 972 A9653 A8|K8 865 82 Q96532
Q5 AJT5 K832 AJ6|T642 Q32 A95 T84|AJ K9 T764 KQ973|K9873 8764 QJ 52
J43 KQJ9 AJT KJ9|T975 2 KQ972 A85|AQ AT86 86543 QT|K862 7543  76432
AQ7 QJ96 AQJ5 J5|JT54 KT7 K743 Q8|K986 A32 82 A974|32 854 T96 KT632
AQ3 A9652 KQ J85|T9874 KT T98 Q73|KJ6 4 J652 AK642|52 QJ873 A743 T9
A85 AT98 J8 AK43|42 KJ52 A96542 T|KQJ3 Q63 KQ7 J98|T976 74 T3 Q7652
KQ8 AJT2 AQT4 94|AJ9 953 J873 Q52|74 K7 K652 AK876|T6532 Q864 9 JT3
AQ94 A2 Q95 AJ42|KT5 74 J832 K985|32 QJT86 AKT7 QT|J876 K953 64 763
K73 AKQT4 AT2 74|6 J98763 KJ75 82|A82 2 Q93 KQJT65|QJT954 5 864 A93
KQ6 AK98 J93 K42|A954 QJ 754 QJ87|3 T7543 AKT8 AT6|JT872 62 Q62 953
A3 AQ542 K73 Q52|8642 J987 Q8 AJ7|QT5 KT6 A62 K863|KJ97 3 JT954 T94
AQJ3 QJ7 J9 KQT9|KT62 AK98 T74 65|74 43 AKQ862 AJ7|985 T652 53 8432
A872 Q5 AK76 AT9|QJ6 KT983 52 J83|93 AJ62 QJ4 KQ65|KT54 74 T983 742
A962 KJ Q75 AQ72|74 Q54 K9432 K63|Q83 A8762 AT JT4|KJT5 T93 J86 985
KQ8 K8532 A9 K75|T5 76 KQ8642 T86|A92 J9 J73 AQ932|J7643 AQT4 T5 J4
AQ43 J74 A53 KQ5|KT95 963 876 T74|J876 AK2 QJ4 A83|2 QT85 KT92 J962
A7 KQ97 AK65 975|T8632 JT852 J A6|KQ94 A6 Q742 J82|J5 43 T983 KQT43
K5 Q842 AKQT K93|4 9763 J86 AQT54|AQ9832 AK 432 J8|JT76 JT5 975 762
Q9 KQ943 KT3 KQ9|JT75 T65 AJ5 852|632 AJ87 Q87 AJT|AK84 2 9642 7643
K74 AQ8 J54 KQ87|QT96532 6 AT9 A9|A8 KJT543 K32 T2|J 972 Q876 J6543
K65 KQ63 A64 K65|J972 T5 J2 QT943|T AJ7 KQ98753 J8|AQ843 9842 T A72
A9 KT63 K62 AJ95| AQ752 9753 Q864|KJT2 94 AQT4 KT3|Q876543 J8 J8 72
A987 AK62 J98 K7|Q53 987 73 98542|JT2 JT43 AK AT63|K64 Q5 QT6542 QJ
A5 A652 K65 KJ92|Q8 J8 J9843 T543|JT94 KT97 AQT2 Q|K7632 Q43 7 A876
AT8 AQ8 KJ62 Q32|42 K652 T853 JT5|K53 JT93  AK9764|QJ976 74 AQ974 8
KJ8 AQ2 KQ873 J3|Q765 T86 A6 K974|AT92 KJ5 J4 AQT8|43 9743 T952 652
K75 A4 AJ98 KT54|JT632 T75 Q J872|A KQ98632 KT3 63|Q984 J 76542 AQ9
J75 KQ3 AKQ J954|K62 AT86 JT83 T7|A93 9542 742 AK3|QT84 J7 965 Q862
AK8 KQ542 KJT 76|942 873 9852 AT3|QT75 AT A743 QJ9|J63 J96 Q6 K8542
QJ9 KJ7 JT AK743|654 95432 AQ74 9|AKT832 A86 6 Q82|7 QT K98532 JT65
QJ8 Q95 AK854 K4|T6 K74 QJ32 Q732|AK754 AT8 976 JT|932 J632 T A9865
KT8 Q62 AK KQ974|A4 97 QJ632 A652|QJ7532 AKJ5 4 JT|96 T843 T9875 83
Q875 K72 A85 AQ6|AJT96 Q8 J63 T84|K2 AJ96 QT72 K95|43 T543 K94 J732
K96 JT54 KJ6 AK6|84 93 AQT3 QJT84|AQ752 AKQ82 84 2|JT3 76 9752 9753
AK93 AT5 QJ8 J62|J2 QJ832 A54 Q95|QT874 K KT97 AK7|65 9764 632 T843
KJT7 KJ KQ3 QT98|A96542 Q J54 743|Q3 952 A9876 AJ5|8 AT87643 T2 K62
AK3 AT7 Q97 KT52|98752 Q852 KJT3 |Q KJ93 A52 QJ976|JT64 64 864 A843
Q62 A63 KQ72 A32|A9 K JT9 QJ98765|KJ53 T8752 A3 KT|T874 QJ94 8654 4
Q6 A843 AQ96 KT9|K532 KJ76 7543 7|AJ8 QT9 KT82 AQ5|T974 52 J J86432
K864 Q82 Q82 AKQ|9 64 AJT953 J976|AJ AKJT9 K7 T854|QT7532 753 64 32
Q987 J74 AK AQ97|643 AQ832 T8 JT3|AKT5 K65 J7 8642|J2 T9 Q965432 K5
K73 AJ8 A2 AJT98|QJ954 T5 T9876 3|2 K643 KQ43 K542|AT86 Q972 J5 Q76
AK AKJ 942 J8653|J986 QT76 QJ8 97|743 84 AT65 AKQ4|QT52 9532 K73 T2
KQ832 985 AQ8 A2|T95 T763 4 Q9876|AJ64 AKQJ2 J97 4|7 4 KT6532 KJT53
JT8 AQ5 KQT42 A3|A6542 K976 9 874|K7 T2 A8653 KJ92|Q93 J843 J7 QT65
AQ5 K7 AJ72 KT72|9764 Q85 T854 63|K83 A6 K93 AQ854|JT2 JT9432 Q6 J9
AKJ QT7 Q9874 KQ|76 AJ953 32 T654|QT43 K642 K AJ87|9852 8 AJT65 932
53 AK987 A94 A93|AK986 T3 JT52 JT|T2 QJ642 KQ3 K76|QJ74 5 876 Q8542
QJ952 AK9 K3 Q94|43 8 QJT974 K862|KT8 QT72 A62 AT3|A76 J6543 85 J75
AQ3 K6 QJT3 KJ92|952 J9 A52 T8764|KT8 AT5 K864 AQ3|J764 Q87432 97 5
AJ7 JT74 QJ KQJ9|Q8652 KQ85 62 AT|KT3 A9 A94 87432|94 632 KT8753 65
AK 942 A9862 KQ9|QJT85 JT75  JT43|9732 AK KT54 A87|64 Q863 QJ73 652
AKJ94 K82 52 A95|Q3 QJ763 Q876 K8|762 AT954 AJ3 Q4|T85  KT94 JT7632
AK Q32 QJ6 AJT75|972 JT974 T94 K4|654 A AK8752 Q96|QJT83 K865 3 832
AT42 AQT6 A62 Q6|7 K932 J943 9875|KJ953 8 KT5 AJT4|Q86 J754 Q87 K32
AJ53 K942 K85 A5|42 T6 T9742 QT83|Q96 J83 A63 KJ97|KT87 AQ75 QJ 642
KT743 632 AKT AJ|J85 74 Q92 QT932|AQ96 AJ5 76 K874|2 KQT98 J8543 65
AKT JT95 K963 AQ|3 AK432 T82 J964|Q87 Q AQJ75 8532|J96542 876 4 KT7
AQ83 AQ95 KJ3 65|K52 8 AT98542 QT|T7 KJT2 Q AKJ932|J964 7643 76 874
QJ2 Q5 AJ3 AQ873|A86 T9732 T64 95|KT43 AKJ864 K JT|975  Q98752 K642
KQJ5 QJ6 AKT9 86|T9643 K8532 752 |82 A74 Q6 KQT952|A7 T9 J843 AJ743
A53 AQ963 Q6 AT5|KT962 842 975 93|Q87 KT5 KJ3 QJ86|J4 J7 AT842 K742
J95 AJ QJ5 AQJ75|T83 T97642 T64 3|A64  AK73 KT9862|KQ72 KQ853 982 4
JT3 AT9 AK75 QJ6|A765 J653 QT4 52|K84 KQ742 83 K83|Q92 8 J962 AT974
AK92 A942 974 A6|QT8 8 QJ3 T98732|7 KJ653 AK82 KJ5|J6543 QT7 T65 Q4
J653 K64 AKJ8 K4|Q972 J75 74 QJT9|A8 QT932 Q3 A865|KT4 A8 T9652 732
QJ7 KQ65 A92 K53|9862 J987 Q763 A|AK54 A432  J9742|T3 T KJT854 QT86
J7 AQ72 KQ9 AJT3|A985 98 T6543 76|QT64 T43 A82 KQ2|K32 KJ65 J7 9854
A953 Q95 AJ94 KJ|64 AJ8 QT652 QT3|KQJ8 KT63 K 9864|T72 742 873 A752
AK QJ6 AQ5 JT943|J96542 85 K4 Q72|QT73 K97 T96 AK6|8 AT432 J8732 85
KJ6 A97 KJ2 QJ94|T98 K653 T83 K87|AQ72 Q2 A96 T632|543 JT84 Q754 A5
AJ63 A86 A4 QJ52|Q74 QJ QJT92 863|KT95 K75 86 AKT4|82 T9432 K753 97
Q74 KQ872 KT5 AQ|T9832 A9 J74 K85|AK5 J63 Q82 JT92|J6 T54 A963 7643
AK3 KQ974 K97 J9|8654 A62 T832 87|QJT2 J A64 AQ653|97 T853 QJ5 KT42
K94 K7 A73 AQ943|J862 J5 K952 K65|AQT7 A3 QJ JT872|53 QT98642 T864 
AK32 43 KQJ6 Q32|J87 A962 T952 K9|QT5 KQJ5 87 AT76|964 T87 A43 J854
AKQ4 T74 AKT9 74|T862 A6 Q53 9863|J9 KQ9852 2 KQJT|753 J3 J8764 A52
AQJ J75 A9843 QJ|K73 8 KQT T76542|T6 AQT42 J65 AK3|98542 K963 72 98
75 AK9 AKT82 Q76|T63 T874 Q3 AKT5|AKQ9 J632 J9 J98|J842 Q5 7654 432
A43 Q2 K87 AQT53|T96 KT9 T652 J86|Q5 A8743 A94 K72|KJ872 J65 QJ3 94
T542 K5 AQ96 AQ7|87 T942 JT4 KJ64|AKQ63 Q8 K53 T53|J9 AJ763 872 982
AKQ7 K3 982 K986|642 AQT952 K76 J|T J87 AT4 AQ7543|J9853 64 QJ53 T2
AK95 AT6 72 AJ92|J643 Q2 KT43 QT5|7 KJ5 AQJ85 K873|QT82 98743 96 64
KQJ KQ84 65 KJ85|765432 62 972 T6|AT98 AJ53 Q4 A94| T97 AKJT83 Q732
AJ93 KJ62 A3 K72|T852 QT QJ64 J64|K4 A98753 82 AQ3|Q76 4 KT975 T985
T952 AKQ3 74 AK2|J4 9872 T95 J974|AQ7 T654 AK8 QT3|K863 J QJ632 865
AQ9 AQ9 KQT64 74|754 KJ543 853 QJ|K3 76 A972 AKT63|JT862 T82 J 9852
K62 A962 KT AK83|T54 J4 Q754 T765|Q98 K85 AJ832 J9|AJ73 QT73 96 Q42
A73 AQ75 QJ43 K3|986 63 962 Q9842|KQ54 K92 KT JT76|JT2 JT84 A875 A5
QJ6 KT9 KQ863 AJ|A985 Q82 9 T9864|3 A4 AJT742 K732|KT742 J7653 5 Q5
Q8 K76 KQ984 AQ2|J75 QT9432 732 K|K96 A5 AJ65 T984|AT432 J8 T J7653
K72 A987 KQ92 AJ|84 QT2 763 KQT32|AQT63 KJ3 J54 87|J95 654 AT8 9654
KT6 AQ9 AJ52 JT3|987 876542 K 976|QJ JT3 Q8763 AK8|A5432 K T94 Q542
AT8 AJ42 A5 K952|J932 753 72 AJ64|K4 KQ98 KJ9 QT73|Q765 T6 QT8643 8
42 AJ4 QJ93 AKJ8|T865 976 T82 Q76|AQ97 KT K54 T543|KJ3 Q8532 A76 92
AQ94 K54 Q843 AT|KJT8 QT97 J9 964|76 AJ2 KT62 K853|532 863 A75 QJ72
A653 AQ65 J5 KQ5| JT8432 A63 7642|KQJT872 K9 KQ2 T|94 7 T9874 AJ983
AQ62 93 AJ7 AQ53|T43 T87 83 T9762|9 KQ6542 KQ64 K8|KJ875 AJ T952 J4
AQ854 J96 92 AKJ|KJ32 A52 KQT3 T7|7 KQT8 A864 Q632|T96 743 J75 9854
QT9 KJ3 A42 AJ76|J7643 7 QJ5 T952|AK852 AQ984 3 Q4| T652 KT9876 K83
AJ9 A86 Q2 AJT65|Q87532 J94 J 843|KT64 KT7 AK98 K7| Q532 T76543 Q92
Q64 AK QJ76 KJ87|9 T9863 K984 954|A53 J54 32 AQT32|KJT872 Q72 AT5 6
52 A732 AKQ5 A97|AJ98743 JT85 J2 |K KQ64 T74 KQ643|QT6 9 9863 JT852
Q65 AK4 AT9 K986|82 T52 Q632 QT32|K74 J987 K54 A75|AJT93 Q63 J87 J4
T2 AKQ42 KQT K62|95 763 J75 JT873|AKQJ6 T98 86 Q95|8743 J5 A9432 A4
AJ J76 QJ7 AQ832|86 83 AT654 JT75|T2 AKQT954 K32 6|KQ97543 2 98 K94
K2 AKJT3 T83 A73|A954 9654 K76 98|J8 Q82 QJ95 KQT6|QT763 7 A42 J542
K87 AK62 K43 AT2|965 853 76 KJ653|AQT 974 AQT98 98|J432 QJT J52 Q74
KQT T3 Q972 AKJ9|J954 AJ982 T84 8|A762 KQ4 AK3 T64|83 765 J65 Q7532
AK2 K64 Q943 AJ9|Q7654 75 KJT85 5|983 AQJ82 A KT63|JT T93 762 Q8742
QJ63 A74 AJ7 KQ4|754 KJ85 K942 85|A8 Q62 Q8653 AT6|KT92 T93 T J9732
AK3 KQ2 J98 QT86|J84 7 K7542 K954|965 AT9653 AQ J3|QT72 J84 T63 A72
T63 QJ53 AQ AK84|Q987 874 K932 73|AK5 92 JT764 QJ5|J42 AKT6 85 T962
K82 K962 A9 KQJ2|AQJ4 T84 76 8654|75 AQ7 Q432 AT73|T963 J53 KJT85 9
K94 AKT95 K9 A96|T863 J72 J74 T82|Q752 86 AT8 KQ75|AJ Q43 Q6532 J43
52 AK8 JT7 AKJT9|AJT96 932 92 752|K43 Q765 AQ3 863|Q87 JT4 K8654 Q4
AKQ2 K732 T4 K64|T4 Q984 QJ85 T93|J73 A65 AK96 A52|9865 JT 732 QJ87
9654 AQT A53 AK6|82 K98 QT86 QT54|AKQ J6 J97 J9873|JT73 75432 K42 2
AQJ AJ965 72 K86|2 K832 JT643 J53|K863 QT7 K98 AQ4|T9754 4 AQ5 T972
AJ86 KJ A75 A932|4 A98742 QT94 K8|KQ95 T6 K83 QJ54|T732 Q53 J62 T76
652 AKT64 A3 A82|AQJT3 QJ5 T9 J94|K4 2 KJ86 KQT653|987 9873 Q7542 7
AQ5 Q87 A8432 K8|KT2 43 KQ7 J6542|J963 A9 T9 AQT97|874 KJT652 J65 3
A2 KT4 KQ97 KJT5|975 A3 AT6432 93|KQJ64 Q95 5 A764|T83 J8762 J8 Q82
A2 AT86 Q964 AK7|Q7654 Q95 75 QT4|KT3 J2 AK8 98532|J98 K743 JT32 J6
AK5 KQ873 96 A74|T T6 AJT8 KJT952|QJ98 AJ5 K42 Q83|76432 942 Q753 6
AQ87 KJ4 AT53 K4|65 A765 K974 J82|KJ9432 83 Q AQ53|T QT92 J862 T976
AJ5 T76 AQ9 AJT6|K432 K54 J6 Q752|QT96 AQJ92 54 K9|87 83 KT8732 843
AK9 AT5 AJ94 542|JT8632 K9 7652 9|75 63 KQT AQJT83|Q4 QJ8742 83 K76
KQT2 KJ4 T82 AQ9|985 Q6 K763 8543|AJ4 AT82 Q54 T62|763 9753 AJ9 KJ7
AJT74 A8 AQ2 Q86|K92 J54 T43 AJT9|6 KQ973 KJ65 K75|Q853 T62 987 432
AT74 A65 64 AKJ6|9862 JT72 975 93|KQJ 83 AQJ83 T72|53 KQ94 KT2 Q854
A64 K92 873 AKJ3|73 T65 AJT954 96|Q85 AQJ743 Q2 42|KJT92 8 K6 QT875
AK82 AK8 T74 K63|Q54 QT3 A862 854|973 965 KQ95 AQJ|JT6 J742 J3 T972
K8 KQ842 K95 AJ4|JT43 T75 T62 K63|AQ5 J3 A87 QT987|9762 A96 QJ43 52
K4 AKT 762 AQ765|J765 Q53 KQ JT94|AT93 86 AJ943 K8|Q82 J9742 T85 32
A7 KQ854 KJ4 QT7|QJ94 92 83 86432|852 T6 AT6 AKJ95|KT63 AJ73 Q9752 
AKQJ8 A8 T87 K96|T76 J742 AJ64 J3|52 QT KQ532 AQ42|943 K9653 9 T875
Q74 AQ732 Q7 AQ3|9 K4 T953 JT9542|K865 J95 AK4 K76|AJT32 T86 J862 8
Q6 A54 A9843 AQ4|AKT97 98762  T96|J32 KQJ QT5 KJ73|854 T3 KJ762 852
AKQ8 K63 43 K763|T9762 T75 T82 A4|J43 AJ8 A6 QJT85|5 Q942 KQJ975 92
AK2 Q32 K2 QJ753|T8 84 QJ9643 K84|Q9743 AKT75 75 A|J65 J96 AT8 T962
AQ98 AQ92 AT8 87|2 T543 53 AKJ432|KJT765 86 KQJ QT|43 KJ7 97642 965
AK83 73 KJ2 KQJ7|9 J842 A7654 862|T62 AKT65 T98 A4|QJ754 Q9 Q3 T953
KQ43 J83 QT AK75|976 A9642 6 QJ96|AJT KQT AK9532 2|852 75 J874 T843
AQ2 J2 A93 AQ954|KT63 4 Q872 J762|J84 AKT86 K54 T8|975 Q9753 JT6 K3
KJ4 QJT42 A9 KJ6|A73 63 Q732 QT43|QT AK85 KT85 A95|98652 97 J64 872
QJ94 AK3 QJ2 Q95|K2 J872 876 J643|A53 Q4 KT9543 K2|T876 T965 A AT87
